Element, float4.x, float4.y, float4.z, float4.w
0,  1.00,  1.00,  1.00,  1.00
1,  20.00,  20.00,  20.00,  20.00
2,  0.24805,  0.49609,  0.75098,  0.00195
3,  0.12402,  0.24805,  0.37549,  0.00098
4,  0.70796,  0.184,  0.94769,  5.70824
5,  0.87918,  0.66821,  0.77512,  0.00
6,  0.86147,  0.83027,  0.35739, -5.70824
7, -0.41429, -0.21911, -0.42384,  0.28209
8,  0.00,  0.00,  0.00,  0.00
9,  0.00,  0.00,  0.00,  0.00
10,  0.00,  0.00,  0.00,  0.00
11,  0.00,  0.00,  0.00,  0.00
12,  0.00,  0.00,  0.00,  0.00
13,  0.00,  0.00,  0.00,  0.00
14,  0.00,  0.00,  0.00,  0.00
15,  0.00,  1.00,  1.00,  1.00
16,  20.00,  20.00,  20.00,  20.00
17,  0.12305,  0.24609,  0.25098,  0.25195
18,  0.06152,  0.12305,  0.18799,  0.87598
19,  1.02847,  0.3229,  1.07305,  5.75
20,  0.81871,  0.72394,  0.74113,  0.00
21,  0.90399,  0.68141,  0.16573, -5.75
22, -0.41127, -0.36969, -0.36022,  0.28209
23,  0.00,  0.00,  0.00,  0.00
24,  0.00,  0.00,  0.00,  0.00
25,  0.00,  0.00,  0.00,  0.00
26,  0.00,  0.00,  0.00,  0.00
27,  0.00,  0.00,  0.00,  0.00
28,  0.00,  0.00,  0.00,  0.00
29,  0.00,  0.00,  0.00,  0.00
30,  0.00,  1.00,  1.00,  1.00
31,  20.00,  20.00,  20.00,  20.00
32,  0.24805,  0.49609,  0.50098,  0.00195
33,  0.12402,  0.24805,  0.25049,  0.00098
34,  1.6495,  0.63304,  1.10325,  5.75
35,  0.84858,  0.91005,  1.07349,  0.00
36,  0.81678,  0.39232,  0.26045, -5.75
37, -0.51437, -0.37143, -0.54341,  0.28209
38,  0.00,  0.00,  0.00,  0.00
39,  0.00,  0.00,  0.00,  0.00
40,  0.00,  0.00,  0.00,  0.00
41,  0.00,  0.00,  0.00,  0.00
42,  0.00,  0.00,  0.00,  0.00
43,  0.00,  0.00,  0.00,  0.00
44,  0.00,  0.00,  0.00,  0.00
45,  1.00,  1.00,  1.00,  1.00
46,  0.00,  0.00,  0.00,  0.00
47,  0.12305,  0.24609,  0.25098,  0.00195
48,  1.00,  1.00,  0.00,  0.00
49,  2.19444,  0.88363,  1.25105,  5.67771
50,  0.7386,  0.46468,  0.59807,  0.00
51,  0.8728,  0.13465,  0.00086, -5.67771
52, -0.4244, -0.43193, -0.24213,  0.28209
53,  0.00,  0.00,  0.00,  0.00
54,  0.00,  0.00,  0.00,  0.00
55,  0.00,  0.00,  0.00,  0.00
56,  0.00,  0.00,  0.00,  0.00
57,  0.00,  0.00,  0.00,  0.00
58,  0.00,  0.00,  0.00,  0.00
59,  0.00,  0.00,  0.00,  0.00
60,  1.00,  1.00,  1.00,  0.00
61,  20.00,  20.00,  20.00,  20.00
62,  0.24805,  0.49609,  0.00098,  0.00195
63,  0.24805,  0.49609,  0.00098,  0.00195
64,  0.33247,  0.08553,  0.49635,  5.75
65,  0.65063,  0.99446,  1.02375,  0.00
66,  1.00,  0.92349,  0.50365, -5.75
67, -0.32481, -0.52641, -0.51217,  0.28209
68,  0.00,  0.00,  0.00,  0.00
69,  0.00,  0.00,  0.00,  0.00
70,  0.00,  0.00,  0.00,  0.00
71,  0.00,  0.00,  0.00,  0.00
72,  0.00,  0.00,  0.00,  0.00
73,  0.00,  0.00,  0.00,  0.00
74,  0.00,  0.00,  0.00,  0.00
75,  0.00,  1.00,  1.00,  1.00
76,  20.00,  20.00,  20.00,  20.00
77,  0.12305,  0.24609,  0.37598,  0.00195
78,  0.06152,  0.12305,  0.12549,  0.75098
79,  0.59034,  0.19748,  0.85429,  5.75
80,  0.93104,  0.91072,  0.75796,  0.00
81,  0.86157,  0.8174,  0.46161, -5.75
82, -0.5513, -0.38362, -0.42062,  0.28209
83,  0.00,  0.00,  0.00,  0.00
84,  0.00,  0.00,  0.00,  0.00
85,  0.00,  0.00,  0.00,  0.00
86,  0.00,  0.00,  0.00,  0.00
87,  0.00,  0.00,  0.00,  0.00
88,  0.00,  0.00,  0.00,  0.00
89,  0.00,  0.00,  0.00,  0.00
90,  0.00,  1.00,  1.00,  1.00
91,  20.00,  20.00,  20.00,  20.00
92,  0.0293,  0.05859,  0.81348,  0.18945
93,  0.01465,  0.0293,  0.48486,  0.96973
94,  0.85892,  0.30498,  0.96249,  5.75
95,  0.83156,  0.83691,  0.91991,  0.00
96,  0.93823,  0.69978,  0.24718, -5.75
97, -0.48229, -0.3224, -0.5454,  0.28209
98,  0.00,  0.00,  0.00,  0.00
99,  0.00,  0.00,  0.00,  0.00
100,  0.00,  0.00,  0.00,  0.00
101,  0.00,  0.00,  0.00,  0.00
102,  0.00,  0.00,  0.00,  0.00
103,  0.00,  0.00,  0.00,  0.00
104,  0.00,  0.00,  0.00,  0.00
105,  0.00,  1.00,  1.00,  1.00
106,  20.00,  20.00,  20.00,  20.00
107,  0.0293,  0.05859,  0.96973,  0.12695
108,  0.0293,  0.05859,  0.65723,  0.25195
109,  0.03684,  0.01328,  0.09804,  5.75
110,  0.3543,  0.05466,  0.24142,  0.00
111,  0.97879,  0.98672,  1.00, -5.75
112, -0.27611,  0.30754, -0.14345,  0.28209
113,  0.00,  0.00,  0.00,  0.00
114,  0.00,  0.00,  0.00,  0.00
115,  0.00,  0.00,  0.00,  0.00
116,  0.00,  0.00,  0.00,  0.00
117,  0.00,  0.00,  0.00,  0.00
118,  0.00,  0.00,  0.00,  0.00
119,  0.00,  0.00,  0.00,  0.00
120,  0.00,  1.00,  1.00,  1.00
121,  20.00,  20.00,  20.00,  20.00
122,  0.0293,  0.05859,  0.56348,  0.50195
123,  0.0293,  0.05859,  0.68848,  0.00195
124,  0.00231,  0.00036,  0.00441,  3.66199
125,  0.00293,  0.00177,  0.01079,  0.00
126,  0.97051,  0.99361,  1.1084, -3.66199
127, -0.18673,  0.28346,  0.04135,  0.28209
128,  0.00,  0.00,  0.00,  0.00
129,  0.00,  0.00,  0.00,  0.00
130,  0.00,  0.00,  0.00,  0.00
131,  0.00,  0.00,  0.00,  0.00
132,  0.00,  0.00,  0.00,  0.00
133,  0.00,  0.00,  0.00,  0.00
134,  0.00,  0.00,  0.00,  0.00
135,  0.00,  1.00,  1.00,  1.00
136,  20.00,  20.00,  20.00,  20.00
137,  0.0293,  0.05859,  0.56348,  0.25195
138,  0.0293,  0.05859,  0.62598,  0.37695
139,  0.08191,  0.0166,  0.13526,  5.43435
140,  0.24201,  0.04049,  0.14055,  0.00
141,  0.93925,  0.98408,  1.02751, -5.43435
142, -0.22265,  0.27072,  0.05757,  0.28209
143,  0.00,  0.00,  0.00,  0.00
144,  0.00,  0.00,  0.00,  0.00
145,  0.00,  0.00,  0.00,  0.00
146,  0.00,  0.00,  0.00,  0.00
147,  0.00,  0.00,  0.00,  0.00
148,  0.00,  0.00,  0.00,  0.00
149,  0.00,  0.00,  0.00,  0.00
150,  0.00,  1.00,  1.00,  1.00
151,  20.00,  20.00,  20.00,  20.00
152,  0.0293,  0.05859,  0.56348,  0.37695
153,  0.0293,  0.05859,  0.62598,  0.43945
154,  0.08185,  0.02147,  0.10805,  4.8238
155,  0.14134,  0.077,  0.19246,  0.00
156,  0.9624,  0.97414,  1.018, -4.8238
157, -0.24507,  0.24149,  0.02443,  0.28209
158,  0.00,  0.00,  0.00,  0.00
159,  0.00,  0.00,  0.00,  0.00
160,  0.00,  0.00,  0.00,  0.00
161,  0.00,  0.00,  0.00,  0.00
162,  0.00,  0.00,  0.00,  0.00
163,  0.00,  0.00,  0.00,  0.00
164,  0.00,  0.00,  0.00,  0.00
165,  0.00,  1.00,  1.00,  1.00
