Element, float4.x, float4.y, float4.z, float4.w
0,  0.63039,  0.03097,  0.00,  0.00
1, -0.03097,  0.63039,  0.00,  0.00
2,  0.00,  0.00,  0.63115,  0.00
3, -175.00, -40.00,  41.00,  1.00
4,  1.58442,  1.58442,  1.58442,  1.00
5, -175.00, -40.00,  54.36317,  13.7115
6,  1.58251, -0.07774,  0.00,  0.00
7,  0.07774,  1.58251,  0.00,  0.00
8,  0.00,  0.00,  1.58442,  0.00
9,  280.04941,  49.69533, -64.96126,  1.00
10,  0.63039,  0.03097,  0.00,  0.00
11, -0.03097,  0.63039,  0.00,  0.00
12,  0.00,  0.00,  0.63115,  0.00
13, -175.00, -40.00,  41.00,  1.00
14,  1.58251, -0.07774,  0.00,  0.00
15,  0.07774,  1.58251,  0.00,  0.00
16,  0.00,  0.00,  1.58442,  0.00
17,  280.04941,  49.69533, -64.96126,  1.00
18, -175.00, -40.00,  41.00,  0.00
19,  5.54465,  5.54465,  13.36317,  1.00
20,  1.00,  0.00,  0.00,  0.00
21,  0.00,  0.00,  1.00,  1.00
22,  0.63115,  0.63115,  0.63115,  0.00
23, -8.38379, -8.38379,  0.00,  1.40130E-45
24,  8.38379,  8.38379,  42.34578,  0.00
25, -8.38379, -8.38379,  0.00,  0.00
26,  8.38379,  8.38379,  42.34578,  0.00
27,  0.00,  0.00,  0.00,  0.00
28,  0.00,  0.00,  0.00,  0.00
29,  0.00,  0.00,  0.00,  0.00
30,  0.00,  0.00,  0.00,  0.00
31,  0.00,  0.00,  0.00,  0.00
32,  0.00,  0.00,  0.00,  0.00
33,  0.00,  0.00,  0.00,  0.00
34,  0.00,  0.00,  0.00,  0.00
35,  5.96046E-8,  0.00,  1.00,  0.00
36,  1.56686E-6,  1.00,  1.70530E-13,  0.00
37, -1.00,  1.56686E-6,  5.96046E-8,  0.00
38,  288.99997, -331.00,  279.99997,  1.00
39,  1.00,  1.00,  1.00,  1.00
40,  298.99985, -406.00,  254.99997,  878.16968
41,  5.96047E-8,  1.56686E-6, -1.00,  0.00
42, -2.63923E-13,  1.00,  1.56686E-6,  0.00
43,  1.00, -9.33923E-14,  5.96047E-8,  0.00
